2,51
3,50
3,55
3,60
4,5
4,6
4,48
5,4
5,54
6,4
6,47
6,56
7,57
7,58
8,60
8,66
8,68
10,13
12,63
12,73
13,10
13,16
14,17
14,19
14,21
14,22
14,24
15,17
15,18
15,23
15,75
16,13
16,20
16,76
17,14
17,15
17,19
17,23
17,64
18,15
18,73
18,75
19,14
19,17
19,22
19,23
20,16
20,76
21,14
22,14
22,19
22,23
22,24
23,15
23,17
23,19
23,22
23,26
23,27
23,75
24,14
24,22
25,77
25,78
26,23
26,27
27,23
27,26
27,28
27,32
27,75
28,27
28,31
28,32
28,33
29,31
29,76
31,28
31,29
31,33
31,35
31,37
31,76
32,27
32,28
32,33
32,38
33,28
33,31
33,32
33,35
33,38
33,82
34,91
35,31
35,33
35,37
35,82
36,37
36,76
36,78
36,79
37,31
37,35
37,36
37,76
37,79
37,82
38,32
38,33
39,80
39,83
40,79
40,84
40,86
42,88
45,47
45,49
46,47
46,48
47,6
47,45
47,46
47,48
48,4
48,46
48,47
49,45
49,51
49,56
50,3
50,55
51,2
51,49
53,54
54,5
54,53
55,3
55,50
55,60
56,6
56,49
56,63
57,7
57,58
58,7
58,57
58,59
58,64
59,58
59,64
60,3
60,8
60,55
60,65
60,66
60,68
62,65
62,67
62,72
63,12
63,56
63,64
64,17
64,58
64,59
64,63
65,60
65,62
65,67
65,68
66,8
66,60
67,62
67,65
68,8
68,60
68,65
70,71
70,72
71,70
71,96
72,62
72,70
73,12
73,18
73,75
74,91
75,15
75,18
75,23
75,27
75,73
76,16
76,20
76,29
76,31
76,36
76,37
76,77
76,78
77,25
77,76
77,78
78,25
78,36
78,76
78,77
78,79
79,36
79,37
79,40
79,78
79,81
79,82
79,84
79,86
80,39
80,83
80,98
81,79
81,84
81,86
82,33
82,35
82,37
82,79
83,39
83,80
84,40
84,79
84,81
84,86
85,87
86,40
86,79
86,81
86,84
86,88
87,85
88,42
88,86
89,90
90,89
90,100
91,34
91,74
92,93
92,94
93,92
94,92
96,71
96,98
97,99
98,80
98,96
98,99
99,97
99,98
100,90
