1,37.519,337671.00,6058.863
2,6.62,19860.00,2869.539
3,24.126,48252.00,4659.67
4,5.379,80685.00,2315.271
5,12.252,49008.00,3168.332
6,4.839,14517.00,2367.785
7,30.92,185520.00,5030.688
8,7.555,30220.00,2387.276
9,2.043,8172.00,1168.892
10,32.031,0.00,4951.015
11,1.359,5436.00,951.146
12,12.181,182715.00,4591.177
13,25.38,152280.00,4308.549
14,37.921,37921.00,8855.163
15,7.672,107408.00,3144.312
16,34.06,204360.00,4974.654
17,12.022,180330.00,4561.615
18,10.932,163980.00,3390.294
19,5.001,25005.00,2320.311
20,30.481,213367.00,5487.641
21,9.311,46555.00,2913.448
22,3.005,15025.00,1636.204
23,8.648,43240.00,3005.4
24,3.298,16490.00,1394.084
25,20.731,849971.00,4280.545
26,2.527,12635.00,1375.765
27,5.738,40166.00,2301.089
28,3.198,47970.00,2174.104
29,6.45,19350.00,2345.458
30,7.208,28832.00,2470.991
31,26.188,104752.00,5299.526
32,14.007,98049.00,3196.041
33,11.412,22824.00,3604.589
34,18.264,127848.00,4404.483
35,10.363,155445.00,4178.107
36,9.684,48420.00,2994.487
37,18.946,113676.00,4186.821
38,13.08,26160.00,3070.605
39,1.845,11070.00,1213.042
40,1.74,13920.00,1035.745
41,1.689,25335.00,1044.199
42,6.633,19899.00,2348.064
43,59.836,837704.00,7512.153
44,42.97,128910.00,6374.605
45,21.631,497513.00,5700.591
46,29.62,118480.00,6259.286
47,30.276,90828.00,8600.381
48,14.401,72005.00,4395.696
49,42.272,253632.00,5604.427
50,58.92,235680.00,7629.777
51,9.061,45305.00,2787.446
52,18.086,72344.00,6058.075
53,18.761,112566.00,5842.287
54,4.151,20755.00,2053.375
55,16.556,66224.00,3772.773
56,33.789,202734.00,5834.368
57,6.967,62703.00,3125.497
58,17.77,17770.00,4516.346
59,4.945,79120.00,2503.734
60,17.988,71952.00,6945.411
61,7.124,14248.00,3208.375
62,59.428,415996.00,10658.563
63,15.135,242160.00,5878.736
64,24.127,361905.00,5435.177
65,16.251,65004.00,4607.398
66,8.309,33236.00,2727.637
67,5.004,20016.00,2022.83
68,12.759,51036.00,3038.808
69,2.953,14765.00,1574.456
70,9.608,48040.00,3660.201
71,6.601,99015.00,2854.822
72,13.236,66180.00,3174.692
73,6.574,98610.00,2813.81
74,30.96,154800.00,6108.115
75,26.996,404940.00,5598.157
76,39.773,596595.00,6786.829
77,8.892,26676.00,3087.053
78,30.221,151105.00,5311.545
79,52.556,210224.00,7410.801
80,19.217,288255.00,6010.434
81,28.321,84963.00,6340.075
82,24.191,411247.00,9893.738
83,52.908,52908.00,7221.094
84,8.3,124500.00,2572.484
85,18.451,276765.00,4444.393
86,31.527,31527.00,6424.183
87,20.019,60057.00,4584.183
88,12.712,63560.00,3159.47
89,12.263,36789.00,3000.598
90,25.271,25271.00,6866.798
91,28.837,57674.00,6504.789
92,29.834,59668.00,6405.312
93,16.684,116788.00,3414.099
94,31.679,221753.00,5468.197
95,7.387,96031.00,4638.421
96,47.906,47906.00,6324.738
97,22.265,333975.00,6222.084
98,27.696,83088.00,4881.363
99,13.41,53640.00,3287.891
100,12.917,38751.00,2969.228
