1,37.519,337671.00
2,6.62,19860.00
3,24.126,48252.00
4,5.379,80685.00
5,12.252,49008.00
6,4.839,14517.00
7,30.92,185520.00
8,7.555,30220.00
9,2.043,8172.00
10,32.031,0.00
11,1.359,5436.00
12,12.181,182715.00
13,25.38,152280.00
14,37.921,37921.00
15,7.672,107408.00
16,34.06,204360.00
17,12.022,180330.00
18,10.932,163980.00
19,5.001,25005.00
20,30.481,213367.00
21,9.311,46555.00
22,3.005,15025.00
23,8.648,43240.00
24,3.298,16490.00
25,20.731,849971.00
26,2.527,12635.00
27,5.738,40166.00
28,3.198,47970.00
29,6.45,19350.00
30,7.208,28832.00
31,26.188,104752.00
32,14.007,98049.00
33,11.412,22824.00
34,18.264,127848.00
35,10.363,155445.00
36,9.684,48420.00
37,18.946,113676.00
38,13.08,26160.00
39,1.845,11070.00
40,1.74,13920.00
41,1.689,25335.00
42,6.633,19899.00
43,59.836,837704.00
44,42.97,128910.00
45,21.631,497513.00
46,29.62,118480.00
47,30.276,90828.00
48,14.401,72005.00
49,42.272,253632.00
50,58.92,235680.00
51,9.061,45305.00
52,18.086,72344.00
53,18.761,112566.00
54,4.151,20755.00
55,16.556,66224.00
56,33.789,202734.00
57,6.967,62703.00
58,17.77,17770.00
59,4.945,79120.00
60,17.988,71952.00
61,7.124,14248.00
62,59.428,415996.00
63,15.135,242160.00
64,24.127,361905.00
65,16.251,65004.00
66,8.309,33236.00
67,5.004,20016.00
68,12.759,51036.00
69,2.953,14765.00
70,9.608,48040.00
71,6.601,99015.00
72,13.236,66180.00
73,6.574,98610.00
74,30.96,154800.00
75,26.996,404940.00
76,39.773,596595.00
77,8.892,26676.00
78,30.221,151105.00
79,52.556,210224.00
80,19.217,288255.00
81,28.321,84963.00
82,24.191,411247.00
83,52.908,52908.00
84,8.3,124500.00
85,18.451,276765.00
86,31.527,31527.00
87,20.019,60057.00
88,12.712,63560.00
89,12.263,36789.00
90,25.271,25271.00
91,28.837,57674.00
92,29.834,59668.00
93,16.684,116788.00
94,31.679,221753.00
95,7.387,96031.00
96,47.906,47906.00
97,22.265,333975.00
98,27.696,83088.00
99,13.41,53640.00
100,12.917,38751.00
101,2.274,6822.00
102,22.859,22859.00
103,11.8,177000.00
104,23.171,46342.00
105,19.059,266826.00
106,23.821,119105.00
107,56.021,896336.00
108,36.747,257229.00
109,14.906,44718.00
110,19.224,19224.00
111,25.747,25747.00
112,26.763,26763.00
113,22.905,68715.00
114,32.037,416481.00
115,20.321,40642.00
116,11.12,100080.00
117,18.73,74920.00
118,14.141,70705.00
119,6.866,20598.00
120,18.185,309145.00
